j_nn_cm,gamma_cm,gamma_over_j,theta_min_deg,chi,local_load
15.0,100.0,6.666666666666667,86.78890798750966,0.0012982008908268936,0.015578410689922724
15.0,150.0,10.0,86.57675975564327,0.001445957173537588,0.017351486082451056
15.0,200.0,13.333333333333334,86.46634612843927,0.0015241491816873742,0.01828979018024849
15.0,250.0,16.666666666666668,86.43261757550044,0.001548496885578058,0.018581962626936697
15.0,300.0,20.0,86.44778465528323,0.0015377880180399413,0.018453456216479296
20.0,100.0,5.0,87.78930400097606,0.0006347340327572131,0.007616808393086557
20.0,150.0,7.5,87.67333266550497,0.0006903494813914657,0.008284193776697589
20.0,200.0,10.0,87.55706391473821,0.000749658031698282,0.008995896380379384
20.0,250.0,12.5,87.46551513958386,0.0007970080860964769,0.009564097033157724
20.0,300.0,15.0,87.40064054231173,0.0008309151689808769,0.009970982027770523
30.0,100.0,3.3333333333333335,88.56708242878851,0.00027958388996897793,0.003355006679627735
30.0,150.0,5.0,88.56644341333666,0.00027349630599991754,0.0032819556719990107
30.0,200.0,6.666666666666667,88.54858845425703,0.00027617571151781524,0.003314108538213783
30.0,250.0,8.333333333333334,88.51773574684461,0.00028498851780549755,0.0034198622136659704
30.0,300.0,10.0,88.48091062934445,0.000296744321132621,0.0035609318535914517
40.0,100.0,2.5,88.92809119608305,0.00016129775420414418,0.0019355730504497302
40.0,150.0,3.75,88.93064382730188,0.00015692836497027208,0.001883140379643265
40.0,200.0,5.0,88.93094409237341,0.00015450736622522483,0.0018540883947026979
40.0,250.0,6.25,88.92870073027035,0.00015332102623386915,0.00183985231480643
40.0,300.0,7.5,88.92294870562809,0.00015348919094523413,0.0018418702913428095
