s_dim,eta_soft,ramp_over_r0,analytic_gain_low_over_high,hetero_gain_low_over_high,monotone_analytic,monotone_heterogeneous,leff_low_varrho_1,leff_high_varrho_1
1.0,1.0,2.0,6.000000000000001,,1,,,
1.0,1.0,4.0,8.500000000000002,,1,,,
1.0,1.0,8.0,11.0,,1,,,
1.0,2.0,2.0,7.211102550927978,,1,,,
1.0,2.0,4.0,11.335784048754634,,1,,,
1.0,2.0,8.0,14.317821063276353,,1,,,
1.0,4.0,2.0,7.880145860644972,,1,,,
1.0,4.0,4.0,13.454393968009851,,1,,,
1.0,4.0,8.0,15.759333693490184,,1,,,
2.0,1.0,2.0,36.0,35.18654592829133,1,1,123.03922954767668,3.496769185541126
2.0,1.0,4.0,72.25000000000001,55.16401707170657,1,1,153.09993522562814,2.7753587094032093
2.0,1.0,8.0,120.99999999999997,73.09847728250668,1,1,175.02366427712576,2.3943544487350215
2.0,2.0,2.0,52.0,64.63070636321477,1,1,137.22616091664725,2.1232347383835948
2.0,2.0,4.0,128.50000000000003,140.82003006078833,1,1,240.54094163214347,1.7081443707142245
2.0,2.0,8.0,204.99999999999994,212.86434713411217,1,1,333.86217906561416,1.5684269515329827
2.0,4.0,2.0,62.09669878504008,87.21512017103227,1,1,135.85712144819317,1.557724408127536
2.0,4.0,4.0,181.02071704641986,216.70257073860034,1,1,296.2073476185457,1.3668843272553919
2.0,4.0,8.0,248.35659846277494,325.17424963278063,1,1,434.42240241238346,1.3359680322257277
3.0,1.0,2.0,216.00000000000006,,1,,,
3.0,1.0,4.0,614.1250000000003,,1,,,
3.0,1.0,8.0,1330.9999999999993,,1,,,
3.0,2.0,2.0,374.97733264825484,,1,,,
3.0,2.0,4.0,1456.6482502649708,,1,,,
3.0,2.0,8.0,2935.1533179716516,,1,,,
3.0,4.0,2.0,489.3310438906513,,1,,,
3.0,4.0,4.0,2435.52404351417,,1,,,
3.0,4.0,8.0,3913.934510155022,,1,,,
